,region,province,district,sub_district,province_eng,location,location_id
372,Central,ปทุมธานี,ธัญบุรี,รังสิต,Pathum Thani,Central/ปทุมธานี/ธัญบุรี/รังสิต/Pathum Thani,372
373,Bangkok,กรุงเทพมหานคร,บางกอกใหญ่,วัดท่าพระ,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/บางกอกใหญ่/วัดท่าพระ/Bangkok Metropolis,373
374,Central,สมุทรสงคราม,อัมพวา,แพรกหนามแดง,Samut Songkhram,Central/สมุทรสงคราม/อัมพวา/แพรกหนามแดง/Samut Songkhram,374
375,Bangkok,กรุงเทพมหานคร,ลาดพร้าว,ลาดพร้าว,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/ลาดพร้าว/ลาดพร้าว/Bangkok Metropolis,375
376,Eastern,มหาสารคาม,เมืองมหาสารคาม,ตลาด,Maha Sarakham,Eastern/มหาสารคาม/เมืองมหาสารคาม/ตลาด/Maha Sarakham,376
377,Central,นนทบุรี,บางใหญ่,บางแม่นาง,Nonthaburi,Central/นนทบุรี/บางใหญ่/บางแม่นาง/Nonthaburi,377
378,Bangkok,กรุงเทพมหานคร,บางคอแหลม,บางโคล่,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/บางคอแหลม/บางโคล่/Bangkok Metropolis,378
379,Bangkok,กรุงเทพมหานคร,บางพลัด,บางอ้อ,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/บางพลัด/บางอ้อ/Bangkok Metropolis,379
380,Bangkok,กรุงเทพมหานคร,หนองแขม,หนองแขม,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/หนองแขม/หนองแขม/Bangkok Metropolis,380
381,Central,สมุทรปราการ,พระสมุทรเจดีย์,ในคลองบางปลากด,Samut Prakan,Central/สมุทรปราการ/พระสมุทรเจดีย์/ในคลองบางปลากด/Samut Prakan,381
382,Central,นครปฐม,นครชัยศรี,ท่าพระยา,Nakhon Pathom,Central/นครปฐม/นครชัยศรี/ท่าพระยา/Nakhon Pathom,382
383,Central,สมุทรสาคร,บ้านแพ้ว,ยกกระบัตร,Samut Sakhon,Central/สมุทรสาคร/บ้านแพ้ว/ยกกระบัตร/Samut Sakhon,383
384,Central,ราชบุรี,โพธาราม,คลองข่อย,Ratchaburi,Central/ราชบุรี/โพธาราม/คลองข่อย/Ratchaburi,384
385,Bangkok,กรุงเทพมหานคร,ยานนาวา,บางโพงพาง,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/ยานนาวา/บางโพงพาง/Bangkok Metropolis,385
386,Central,ชลบุรี,พนัสนิคม,นามะตูม,Chon buri,Central/ชลบุรี/พนัสนิคม/นามะตูม/Chon buri,386
387,Central,ชลบุรี,ศรีราชา,Not Sated,Chon buri,Central/ชลบุรี/ศรีราชา/Not Sated/Chon buri,387
388,Bangkok,กรุงเทพมหานคร,พระนคร,เสาชิงช้า,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/พระนคร/เสาชิงช้า/Bangkok Metropolis,388
389,Central,สมุทรปราการ,บางพลี,ราชาเทวะ,Samut Prakan,Central/สมุทรปราการ/บางพลี/ราชาเทวะ/Samut Prakan,389
390,Bangkok,กรุงเทพมหานคร,หนองแขม,หนองค้างพลู,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/หนองแขม/หนองค้างพลู/Bangkok Metropolis,390
391,Bangkok,กรุงเทพมหานคร,ทุ่งครุ,ทุ่งครุ,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/ทุ่งครุ/ทุ่งครุ/Bangkok Metropolis,391
392,Bangkok,กรุงเทพมหานคร,ทุ่งครุ,บางมด,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/ทุ่งครุ/บางมด/Bangkok Metropolis,392
393,Central,สมุทรปราการ,พระสมุทรเจดีย์,Not Sated,Samut Prakan,Central/สมุทรปราการ/พระสมุทรเจดีย์/Not Sated/Samut Prakan,393
394,Central,นครปฐม,สามพราน,ยายชา,Nakhon Pathom,Central/นครปฐม/สามพราน/ยายชา/Nakhon Pathom,394
395,Central,นครปฐม,สามพราน,ไร่ขิง,Nakhon Pathom,Central/นครปฐม/สามพราน/ไร่ขิง/Nakhon Pathom,395
396,Bangkok,กรุงเทพมหานคร,บางแค,บางแค,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/บางแค/บางแค/Bangkok Metropolis,396
397,Central,นครปฐม,สามพราน,กระทุ่มล้ม,Nakhon Pathom,Central/นครปฐม/สามพราน/กระทุ่มล้ม/Nakhon Pathom,397
398,Bangkok,กรุงเทพมหานคร,จอมทอง,Not Sated,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/จอมทอง/Not Sated/Bangkok Metropolis,398
399,Central,นครปฐม,นครชัยศรี,ท่าตำหนัก,Nakhon Pathom,Central/นครปฐม/นครชัยศรี/ท่าตำหนัก/Nakhon Pathom,399
400,Central,สมุทรปราการ,พระประแดง,บางจาก,Samut Prakan,Central/สมุทรปราการ/พระประแดง/บางจาก/Samut Prakan,400
401,Central,นครปฐม,สามพราน,หอมเกร็ด,Nakhon Pathom,Central/นครปฐม/สามพราน/หอมเกร็ด/Nakhon Pathom,401
402,Bangkok,กรุงเทพมหานคร,ตลิ่งชัน,ฉิมพลี,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/ตลิ่งชัน/ฉิมพลี/Bangkok Metropolis,402
403,Bangkok,กรุงเทพมหานคร,ภาษีเจริญ,บางหว้า,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/ภาษีเจริญ/บางหว้า/Bangkok Metropolis,403
404,Central,นครปฐม,นครชัยศรี,ขุนแก้ว,Nakhon Pathom,Central/นครปฐม/นครชัยศรี/ขุนแก้ว/Nakhon Pathom,404
405,Central,นนทบุรี,เมืองนนทบุรี,ตลาดขวัญ,Nonthaburi,Central/นนทบุรี/เมืองนนทบุรี/ตลาดขวัญ/Nonthaburi,405
406,Central,นครปฐม,สามพราน,คลองใหม่,Nakhon Pathom,Central/นครปฐม/สามพราน/คลองใหม่/Nakhon Pathom,406
407,Bangkok,กรุงเทพมหานคร,ธนบุรี,สำเหร่,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/ธนบุรี/สำเหร่/Bangkok Metropolis,407
408,Bangkok,กรุงเทพมหานคร,ทวีวัฒนา,ศาลาธรรมสพน์,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/ทวีวัฒนา/ศาลาธรรมสพน์/Bangkok Metropolis,408
409,Bangkok,กรุงเทพมหานคร,หนองแขม,Not Sated,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/หนองแขม/Not Sated/Bangkok Metropolis,409
410,Northern,แพร่,เมืองแพร่,ในเวียง,Phrae,Northern/แพร่/เมืองแพร่/ในเวียง/Phrae,410
411,Central,ปทุมธานี,ลำลูกกา,บึงคำพร้อย,Pathum Thani,Central/ปทุมธานี/ลำลูกกา/บึงคำพร้อย/Pathum Thani,411
412,Bangkok,กรุงเทพมหานคร,ตลิ่งชัน,คลองชักพระ,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/ตลิ่งชัน/คลองชักพระ/Bangkok Metropolis,412
413,Bangkok,กรุงเทพมหานคร,จอมทอง,จอมทอง,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/จอมทอง/จอมทอง/Bangkok Metropolis,413
414,Bangkok,กรุงเทพมหานคร,สายไหม,ออเงิน,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/สายไหม/ออเงิน/Bangkok Metropolis,414
415,Bangkok,กรุงเทพมหานคร,ทุ่งครุ,Not Sated,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/ทุ่งครุ/Not Sated/Bangkok Metropolis,415
416,Bangkok,กรุงเทพมหานคร,บางกอกน้อย,บ้านช่างหล่อ,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/บางกอกน้อย/บ้านช่างหล่อ/Bangkok Metropolis,416
417,Central,นนทบุรี,เมืองนนทบุรี,ท่าทราย,Nonthaburi,Central/นนทบุรี/เมืองนนทบุรี/ท่าทราย/Nonthaburi,417
418,Bangkok,กรุงเทพมหานคร,จอมทอง,บางมด,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/จอมทอง/บางมด/Bangkok Metropolis,418
419,Bangkok,กรุงเทพมหานคร,ธนบุรี,วัดกัลยาณ์,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/ธนบุรี/วัดกัลยาณ์/Bangkok Metropolis,419
420,Central,นครปฐม,เมืองนครปฐม,พระปฐมเจดีย์,Nakhon Pathom,Central/นครปฐม/เมืองนครปฐม/พระปฐมเจดีย์/Nakhon Pathom,420
421,Bangkok,กรุงเทพมหานคร,บางนา,บางนา,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/บางนา/บางนา/Bangkok Metropolis,421
422,Central,สมุทรปราการ,เมืองสมุทรปราการ,ท้ายบ้าน,Samut Prakan,Central/สมุทรปราการ/เมืองสมุทรปราการ/ท้ายบ้าน/Samut Prakan,422
423,Central,นนทบุรี,ไทรน้อย,ไทรน้อย,Nonthaburi,Central/นนทบุรี/ไทรน้อย/ไทรน้อย/Nonthaburi,423
424,Bangkok,กรุงเทพมหานคร,ห้วยขวาง,บางกะปิ,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/ห้วยขวาง/บางกะปิ/Bangkok Metropolis,424
425,Central,สมุทรปราการ,พระประแดง,บางน้ำผึ้ง,Samut Prakan,Central/สมุทรปราการ/พระประแดง/บางน้ำผึ้ง/Samut Prakan,425
426,Central,สมุทรปราการ,เมืองสมุทรปราการ,สมุทรปราการ,Samut Prakan,Central/สมุทรปราการ/เมืองสมุทรปราการ/สมุทรปราการ/Samut Prakan,426
427,Central,นนทบุรี,บางกรวย,บางกรวย,Nonthaburi,Central/นนทบุรี/บางกรวย/บางกรวย/Nonthaburi,427
428,Central,ปทุมธานี,ธัญบุรี,ลำผักกูด,Pathum Thani,Central/ปทุมธานี/ธัญบุรี/ลำผักกูด/Pathum Thani,428
