url,name,roomType,roomStyle,roomSize,monthlyRent,dailyRent,roomContract,minMonthlyRent,maxMonthlyRent,minDailyRent,maxDailyRent,apartment_url
https://www.renthub.in.th/แอนนา-เพลส-อพาร์ทเมนต์,แอนนา เพลส อพาร์ทเมนต์,เตียง5ฟุต,1 ห้องนอน,36.0,"4,500 - 5,500 บาท",-,ดูราคาระยะสั้น,4500.0,5500.0,,,
https://www.renthub.in.th/บ้านลาภคำอพาร์ทเม้นท์,บ้านลาภคำอพาร์ทเม้นท์,อพาร์ทเม้นท์รายเดือน,1 ห้องนอน,26.0,"7,500 - 14,000 บาท",,,7500.0,14000.0,,,
https://www.renthub.in.th/หอพักมกรา-ใกล้ม-ราชภัฎเชียงใหม่-ฟรี-wi-fi,หอพักมกรา ใกล้ม.ราชภัฎเชียงใหม่ ฟรี Wi-Fi,ห้องสตูดิโอ,สตูดิโอ,33.0,"2,600 บาท",-,,2600.0,2600.0,,,
https://www.renthub.in.th/ห้วยแก้วเรสสิเดนซ์,ห้วยแก้วเรสสิเดนซ์,Single Room A,สตูดิโอ,24.0,"3,500 บาท",-,,3500.0,3500.0,,,
https://www.renthub.in.th/ห้วยแก้วเรสสิเดนซ์,ห้วยแก้วเรสสิเดนซ์,Single Room B,สตูดิโอ,24.0,"5,000 - 6,000 บาท",-,,5000.0,6000.0,,,
https://www.renthub.in.th/ห้วยแก้วเรสสิเดนซ์,ห้วยแก้วเรสสิเดนซ์,Single Room C,สตูดิโอ,24.0,"4,500 - 5,500 บาท",-,,4500.0,5500.0,,,
https://www.renthub.in.th/ห้วยแก้วเรสสิเดนซ์,ห้วยแก้วเรสสิเดนซ์,Single Room D,สตูดิโอ,32.0,"5,500 - 6,500 บาท",-,,5500.0,6500.0,,,
https://www.renthub.in.th/ห้วยแก้วเรสสิเดนซ์,ห้วยแก้วเรสสิเดนซ์,Suite Room A,1 ห้องนอน,47.0,"7,000 - 9,000 บาท",-,,7000.0,9000.0,,,
https://www.renthub.in.th/ห้วยแก้วเรสสิเดนซ์,ห้วยแก้วเรสสิเดนซ์,Suite Room B,1 ห้องนอน,47.0,"12,000 - 13,000 บาท",-,,12000.0,13000.0,,,
https://www.renthub.in.th/ห้วยแก้วเรสสิเดนซ์,ห้วยแก้วเรสสิเดนซ์,Suite Room C,1 ห้องนอน,47.0,"13,000 - 14,000 บาท",-,,13000.0,14000.0,,,
